"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0033782",232.610601304925,-1.38504206328652,0.200201013743006,-6.9182569927666,4.57234280869667e-12,2.65782872859577e-10
"FBgn0261989",25.5081242841462,1.7243944456221,0.515637835259587,3.34419689112608,0.000825211492765749,0.00941550991016411
"FBgn0033913",7588.20927372125,-1.18168830152247,0.101990630022479,-11.5862437682954,4.83891386744771e-31,1.38763920005509e-28
"FBgn0028434",122.317599855819,1.00396858830685,0.235950615829556,4.25499456645661,2.09054091820638e-05,0.000399338350481908
"FBgn0015371",547.232654652817,-1.02023171195121,0.142658212504079,-7.15158064890263,8.57842957885974e-13,5.46668367903188e-11
"FBgn0034010",781.852495028266,-1.46267182883241,0.123215709095778,-11.8708226375214,1.67809355900578e-32,5.15594246004527e-30
"FBgn0260429",117.29833450841,-1.32777727527073,0.343621702251009,-3.86406698579478,0.000111514618945692,0.00171777074918198
"FBgn0011260",291.046800019107,2.20651223629105,0.163641317204041,13.4838332640638,1.94721432789641e-41,9.30660270160714e-39
"FBgn0034139",41.4439485399701,1.1616158505287,0.358424881425253,3.24089066001672,0.00119156878382954,0.0128944229525605
"FBgn0024315",135.234124462537,-2.36641727271311,0.227547282912545,-10.3996727292174,2.48786180148527e-25,4.65284240829951e-23
"FBgn0050463",64.9163364713626,2.43319453867041,0.326504522140963,7.45225371677984,9.17590439897829e-14,6.92458820565002e-12
"FBgn0265530",65.8242787239385,-1.32481211614681,0.337186482323744,-3.92901906095634,8.52930793782901e-05,0.00134637864567235
"FBgn0263336",183.691987281598,-1.07048167904331,0.231378227095003,-4.62654456507602,3.71816891234287e-06,8.50728913640577e-05
"FBgn0000079",236.498989025006,-1.31429367181629,0.204890785424007,-6.41460605022548,1.41187479279155e-10,6.19712185836007e-09
"FBgn0000078",42.0537660441132,-1.2448306881833,0.376929697912529,-3.30255401757221,0.000958086327519511,0.0107323133797531
"FBgn0261362",8573.81484277382,1.49250241494413,0.141297820152997,10.5628127406923,4.4317950255172e-26,8.66516650102828e-24
"FBgn0034290",19.8986067198028,-1.78142246312238,0.546583928148781,-3.25919290959736,0.00111729666957215,0.0122107282735591
"FBgn0063498",486.275387655391,-1.38300712891168,0.154377277164556,-8.9586184852677,3.28771564159242e-19,4.09916198037965e-17
"FBgn0034389",170.98243656895,-2.00878843975274,0.234202447892692,-8.57714536217458,9.72566770910719e-18,1.03296196668456e-15
"FBgn0034391",97.2436869884519,1.53478879680468,0.258945976003374,5.92706177749093,3.08402977393118e-09,1.12423339598008e-07
"FBgn0264753",170.064179570852,-3.24239042013887,0.237017185201373,-13.6799802823752,1.33728956072081e-42,7.1904388068007e-40
"FBgn0034438",108.799017371315,1.82682582709545,0.239223040820805,7.63649613694137,2.23212951191584e-14,1.95949083581755e-12
"FBgn0003748",1600.65215151542,1.09037156372261,0.100075125288436,10.8955303386326,1.21059208265143e-27,2.67044197103852e-25
"FBgn0034636",24.7705189916857,-2.48740584135475,0.558169847756813,-4.45636010499528,8.33629571138953e-06,0.000177079387666874
"FBgn0034718",715.336394752894,1.35013134097651,0.185003670579898,7.29786245183402,2.92375297849047e-13,2.07876420445897e-11
"FBgn0034736",330.38302328757,-3.52280169859845,0.190337596347279,-18.5081758212967,1.77407431251066e-76,1.69581792339214e-73
"FBgn0261596",24584.3057035696,-1.10148796454303,0.10405438583669,-10.5856947372866,3.47195489794193e-26,6.9463320899987e-24
"FBgn0040091",1618.13816430751,-1.57164184648399,0.120259229458673,-13.0687836065346,4.96531445810622e-39,2.03412382300418e-36
"FBgn0034804",60.1864284230873,-1.510929324337,0.345009664844571,-4.3793826037241,1.19016015684363e-05,0.000244950905007793
"FBgn0261584",263.563999356437,-2.11348527186505,0.210801795211134,-10.0259358310883,1.17243591886768e-23,1.97773847255267e-21
"FBgn0034885",239.473728528039,1.56008226617008,0.185333290599738,8.4177120101934,3.83908106581147e-17,3.7962775182961e-15
"FBgn0034897",1340.88978023299,-1.95098499697697,0.137824726601736,-14.1555513664439,1.72578837301355e-45,1.14207364407966e-42
"FBgn0035076",48.1402929633013,1.20038643660407,0.353752123283654,3.39329818139791,0.000690564232479783,0.00817183506468167
"FBgn0035085",928.263812261588,-2.58886944815992,0.124159321910009,-20.8511886851021,1.48682778679392e-96,1.83229028006226e-93
"FBgn0025836",128.465533359649,-1.32152102400188,0.243165337740695,-5.43466036845724,5.49009015311695e-08,1.73644285247298e-06
"FBgn0025383",116.75569854841,-1.0038733324272,0.244059362283609,-4.1132342682296,3.90154094513076e-05,0.000684999117366529
"FBgn0024984",175.211555069473,1.4086978880968,0.192182099158431,7.3300161371195,2.30125020514568e-13,1.6636685306612e-11
"FBgn0023549",266.291250446855,-1.54042562644653,0.192108609912943,-8.01851425162357,1.07031866906454e-15,1.00086429456111e-13
"FBgn0040388",2190.68218188918,-1.01249933701908,0.138266362278741,-7.32281749756252,2.4281793426629e-13,1.74080224041074e-11
"FBgn0024977",41.5122448078854,1.10914766787192,0.361522302636709,3.0679923749725,0.00215502116738901,0.0210438673133345
"FBgn0250904",41.4422426564039,1.67356552544831,0.357745303875027,4.67809222740474,2.89556312455971e-06,6.82480261933895e-05
"FBgn0029848",20.5694557015429,1.41929434281206,0.492056934921867,2.88441081119491,0.00392146821116122,0.0347439660356539
"FBgn0029896",708.938170145817,-2.40097191668711,0.140938959787972,-17.0355444676129,4.47556872646679e-65,3.50030161398125e-62
"FBgn0261284",76.284719413893,2.29162030864181,0.290936135316966,7.87671255117606,3.36106934266875e-15,3.04371363736624e-13
"FBgn0003447",54.9655601749589,1.95739297844184,0.341132923694027,5.73791868942408,9.58471091986982e-09,3.31153686922249e-07
"FBgn0030041",123.444757780033,-2.79547568811528,0.301548347582616,-9.27040625665972,1.85438253888231e-20,2.49269577843821e-18
"FBgn0030051",48.7645327108121,1.09764885055084,0.331587605567414,3.31028311107268,0.000932016506220916,0.0104812261477367
"FBgn0259741",47.4670396870425,1.28218537283247,0.336829781271408,3.80662709809295,0.000140874910410533,0.00206391013988754
"FBgn0052681",237.854147911117,-1.05826823035598,0.177570960711141,-5.95969197957707,2.52713817124548e-09,9.33088827777892e-08
"FBgn0052677",74.8877696551449,1.25201704644025,0.276852238513127,4.52232950386958,6.11627482344907e-06,0.000134230388536052
"FBgn0025111",2192.32236942864,2.82740655434985,0.103045958038314,27.4383062487378,9.58064793976292e-166,2.06055785564451e-162
"FBgn0003360",6409.57712820784,-3.16862187821007,0.110536563588087,-28.6658258168573,1.01798131656007e-180,4.37884663318316e-177
"FBgn0003366",27.0452034105918,-1.80215871159603,0.466484022082494,-3.86328068333567,0.00011187433610772,0.00171866948845486
"FBgn0030326",208.729032298503,-1.22869093947901,0.214919481913005,-5.71698260456611,1.08432212293301e-08,3.71650327633175e-07
"FBgn0052625",223.149384687079,1.57183963004329,0.206356933232489,7.61709144161588,2.59455539990056e-14,2.23209601053445e-12
"FBgn0030598",55.962610051466,2.28284417880227,0.338519208306512,6.74361785915342,1.54490545441014e-11,8.05504340866085e-10
"FBgn0263257",121.14097505933,-1.02694668256006,0.241368677853485,-4.25468081315604,2.09347432369337e-05,0.000399338350481908
"FBgn0030954",25.2657263508383,1.41496691859062,0.448637599362097,3.1539196014835,0.00161093459378321,0.0164594659267422
"FBgn0085359",101.004767343504,-4.95760385015864,0.436608469726491,-11.3548045764304,7.01966763196936e-30,1.88719376993226e-27
"FBgn0031150",1189.25954357395,1.24988535990222,0.10625910638352,11.7626187763242,6.08181627826699e-32,1.80420225661831e-29
"FBgn0027279",4342.46222938062,-1.20801553857504,0.0893175469437247,-13.5249520381047,1.11416294038658e-41,5.63831986832101e-39
"FBgn0031258",214.375233367863,-1.3168031655485,0.195547969764135,-6.7339137662068,1.65159085588557e-11,8.50816534921172e-10
"FBgn0043364",1691.88322062996,-1.12866108532813,0.155311216982595,-7.26709317753017,3.67305460514999e-13,2.50788006096074e-11
"FBgn0031322",580.287432493937,-1.47571848564561,0.149283491087135,-9.88534281251667,4.81929446542277e-23,7.53825277927856e-21
"FBgn0031327",1120.97146634239,1.19342828517884,0.137609337192391,8.67258217740208,4.22429709498227e-18,4.60020606432056e-16
"FBgn0031464",42.2277440711721,-1.24191334062153,0.365731969429822,-3.39569259574894,0.000684551942888445,0.00814550534532405
